locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,86,35,1,27,5,20,5,5,1020,100,2,20141101010000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,127,137,1,28,3,17,5,5,1020,100,2,20141101010000
3,West Park officials,,39.930333,116.345162,97,116,1,31,2,19,5,5,1020,100,2,20141101010000
4,West Wanshou Nishinomiya,,39.879354,116.358183,75,22,1,37,2,17,5,5,1020,100,2,20141101010000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,94,44,1,33,5,16,5,5,1020,100,2,20141101010000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,94,137,1,32,4,17,5,5,1020,100,2,20141101010000
7,Haidian Wanliu,,39.988245,116.293062,101,49,1,29,6,22,5,5,1020,100,2,20141101010000
8,The Haidian northern New Area,,40.091313,116.180194,62,23,2,21,5,14,5,5,1020,100,2,20141101010000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,55,121,9,6,6,9,5,5,1020,100,2,20141101010000
10,Fengtai garden,,39.86423,116.285037,115,150,1,32,4,17,5,5,1020,100,2,20141101010000
11,Fengtai Yungang,,39.82535,116.152237,133,51,2,25,2,15,5,5,1020,100,2,20141101010000
12,Shijingshan city,,39.915286,116.190144,59,106,2,30,3,17,5,5,1020,100,2,20141101010000
13,"Fangshan, Liangxiang",,39.743357,116.14225,181,113,1,19,3,20,5,5,1020,100,2,20141101010000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,200,86,1,22,2,17,5,5,1020,100,2,20141101010000
15,BDA,,39.796197,116.51197,161,149,3,31,5,16,5,5,1020,100,2,20141101010000
16,Tongzhou New Town,,39.887113,116.6689,128,157,1,28,7,14,5,5,1020,100,2,20141101010000
17,Shunyi New Town ,,40.128111,116.660908,155,117,1,26,2,25,5,5,1020,100,2,20141101010000
18,Changping Town,,40.218245,116.236084,55,18,8,17,3,7,5,5,1020,100,2,20141101010000
19,"Mentougou, Longquan Town",,39.938397,116.112323,57,17,3,16,3,10,5,5,1020,100,2,20141101010000
20,Pinggu town,,40.144433,117.106563,218,109,2,19,2,22,5,5,1020,100,2,20141101010000
21,Huairou town,,40.329104,116.63387,46,94,1,22,2,21,5,5,1020,100,2,20141101010000
22,The town of Miyun,,40.371186,116.838053,175,125,1,17,2,21,5,5,1020,100,2,20141101010000
